state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,loss,status,params.entry_lam,params.pk_lam,params.pp_lam,params.recovery_lam,params.x_lam,params.x_splines,params.y_lam,params.y_splines
2,10,,"{'loss': 2.0267807615394813, 'params': {'entry_lam': 0.05793925867876871, 'pk_lam': 0.36660343607751106, 'pp_lam': 0.23636014306385772, 'recovery_lam': 7.82206969364567, 'x_lam': 0.1874007347536042, 'x_splines': 25.0, 'y_lam': 122.78635248432245, 'y_splines': 10.0}, 'status': 'ok'}","{'tid': 10, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'entry_lam': [10], 'pk_lam': [10], 'pp_lam': [10], 'recovery_lam': [10], 'x_lam': [10], 'x_splines': [10], 'y_lam': [10], 'y_splines': [10]}, 'vals': {'entry_lam': [0.05793925867876871], 'pk_lam': [0.36660343607751106], 'pp_lam': [0.23636014306385772], 'recovery_lam': [7.82206969364567], 'x_lam': [0.1874007347536042], 'x_splines': [25.0], 'y_lam': [122.78635248432245], 'y_splines': [10.0]}}",,,0,2022-05-16 20:17:32.633,2022-05-16 20:17:35.288,2.0267807615394813,ok,0.05793925867876871,0.36660343607751106,0.23636014306385772,7.82206969364567,0.1874007347536042,25.0,122.78635248432245,10.0
2,11,,"{'loss': 2.031326636853064, 'params': {'entry_lam': 0.1002253319367972, 'pk_lam': 14.831054664591045, 'pp_lam': 39.52593283129083, 'recovery_lam': 0.6546595079779155, 'x_lam': 3.6542520599455797, 'x_splines': 20.0, 'y_lam': 0.6200227326616199, 'y_splines': 28.0}, 'status': 'ok'}","{'tid': 11, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'entry_lam': [11], 'pk_lam': [11], 'pp_lam': [11], 'recovery_lam': [11], 'x_lam': [11], 'x_splines': [11], 'y_lam': [11], 'y_splines': [11]}, 'vals': {'entry_lam': [0.1002253319367972], 'pk_lam': [14.831054664591045], 'pp_lam': [39.52593283129083], 'recovery_lam': [0.6546595079779155], 'x_lam': [3.6542520599455797], 'x_splines': [20.0], 'y_lam': [0.6200227326616199], 'y_splines': [28.0]}}",,,0,2022-05-16 20:17:35.308,2022-05-16 20:17:45.631,2.031326636853064,ok,0.1002253319367972,14.831054664591045,39.52593283129083,0.6546595079779155,3.6542520599455797,20.0,0.6200227326616199,28.0
2,12,,"{'loss': 2.0436954889019487, 'params': {'entry_lam': 0.11988631581236418, 'pk_lam': 1.0247380779689952, 'pp_lam': 0.8518316794601335, 'recovery_lam': 2.854637866753729, 'x_lam': 0.3486826327111396, 'x_splines': 29.0, 'y_lam': 0.3437880838922173, 'y_splines': 28.0}, 'status': 'ok'}","{'tid': 12, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'entry_lam': [12], 'pk_lam': [12], 'pp_lam': [12], 'recovery_lam': [12], 'x_lam': [12], 'x_splines': [12], 'y_lam': [12], 'y_splines': [12]}, 'vals': {'entry_lam': [0.11988631581236418], 'pk_lam': [1.0247380779689952], 'pp_lam': [0.8518316794601335], 'recovery_lam': [2.854637866753729], 'x_lam': [0.3486826327111396], 'x_splines': [29.0], 'y_lam': [0.3437880838922173], 'y_splines': [28.0]}}",,,0,2022-05-16 20:17:45.643,2022-05-16 20:18:07.561,2.0436954889019487,ok,0.11988631581236418,1.0247380779689952,0.8518316794601335,2.854637866753729,0.3486826327111396,29.0,0.3437880838922173,28.0
2,13,,"{'loss': 2.0440247462544776, 'params': {'entry_lam': 8.459147642412159, 'pk_lam': 0.021661455227573418, 'pp_lam': 0.0741239599168394, 'recovery_lam': 97.09436200048054, 'x_lam': 0.7488355196814097, 'x_splines': 27.0, 'y_lam': 0.011638986868129494, 'y_splines': 21.0}, 'status': 'ok'}","{'tid': 13, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'entry_lam': [13], 'pk_lam': [13], 'pp_lam': [13], 'recovery_lam': [13], 'x_lam': [13], 'x_splines': [13], 'y_lam': [13], 'y_splines': [13]}, 'vals': {'entry_lam': [8.459147642412159], 'pk_lam': [0.021661455227573418], 'pp_lam': [0.0741239599168394], 'recovery_lam': [97.09436200048054], 'x_lam': [0.7488355196814097], 'x_splines': [27.0], 'y_lam': [0.011638986868129494], 'y_splines': [21.0]}}",,,0,2022-05-16 20:18:07.579,2022-05-16 20:18:18.297,2.0440247462544776,ok,8.459147642412159,0.021661455227573418,0.0741239599168394,97.09436200048054,0.7488355196814097,27.0,0.011638986868129494,21.0
2,14,,"{'loss': 2.023330260728631, 'params': {'entry_lam': 0.13001130543897146, 'pk_lam': 552.5144090730748, 'pp_lam': 0.030724128110859932, 'recovery_lam': 0.20355605811854258, 'x_lam': 2.9196440093193474, 'x_splines': 15.0, 'y_lam': 402.63232769541827, 'y_splines': 23.0}, 'status': 'ok'}","{'tid': 14, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'entry_lam': [14], 'pk_lam': [14], 'pp_lam': [14], 'recovery_lam': [14], 'x_lam': [14], 'x_splines': [14], 'y_lam': [14], 'y_splines': [14]}, 'vals': {'entry_lam': [0.13001130543897146], 'pk_lam': [552.5144090730748], 'pp_lam': [0.030724128110859932], 'recovery_lam': [0.20355605811854258], 'x_lam': [2.9196440093193474], 'x_splines': [15.0], 'y_lam': [402.63232769541827], 'y_splines': [23.0]}}",,,0,2022-05-16 20:18:18.305,2022-05-16 20:18:22.273,2.023330260728631,ok,0.13001130543897146,552.5144090730748,0.030724128110859932,0.20355605811854258,2.9196440093193474,15.0,402.63232769541827,23.0
2,15,,"{'loss': 2.0244412207383036, 'params': {'entry_lam': 0.01561229042276656, 'pk_lam': 0.4512501445805929, 'pp_lam': 0.01058902429177336, 'recovery_lam': 0.01394513186345116, 'x_lam': 46.976396218354424, 'x_splines': 17.0, 'y_lam': 15.850756992612963, 'y_splines': 22.0}, 'status': 'ok'}","{'tid': 15, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'entry_lam': [15], 'pk_lam': [15], 'pp_lam': [15], 'recovery_lam': [15], 'x_lam': [15], 'x_splines': [15], 'y_lam': [15], 'y_splines': [15]}, 'vals': {'entry_lam': [0.01561229042276656], 'pk_lam': [0.4512501445805929], 'pp_lam': [0.01058902429177336], 'recovery_lam': [0.01394513186345116], 'x_lam': [46.976396218354424], 'x_splines': [17.0], 'y_lam': [15.850756992612963], 'y_splines': [22.0]}}",,,0,2022-05-16 20:18:22.281,2022-05-16 20:18:26.647,2.0244412207383036,ok,0.01561229042276656,0.4512501445805929,0.01058902429177336,0.01394513186345116,46.976396218354424,17.0,15.850756992612963,22.0
2,16,,"{'loss': 2.029882178091015, 'params': {'entry_lam': 0.18391566029521472, 'pk_lam': 0.4055276454384931, 'pp_lam': 6.044650402131655, 'recovery_lam': 0.04224213943406388, 'x_lam': 319.9769920130736, 'x_splines': 16.0, 'y_lam': 0.04202457173945111, 'y_splines': 20.0}, 'status': 'ok'}","{'tid': 16, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'entry_lam': [16], 'pk_lam': [16], 'pp_lam': [16], 'recovery_lam': [16], 'x_lam': [16], 'x_splines': [16], 'y_lam': [16], 'y_splines': [16]}, 'vals': {'entry_lam': [0.18391566029521472], 'pk_lam': [0.4055276454384931], 'pp_lam': [6.044650402131655], 'recovery_lam': [0.04224213943406388], 'x_lam': [319.9769920130736], 'x_splines': [16.0], 'y_lam': [0.04202457173945111], 'y_splines': [20.0]}}",,,0,2022-05-16 20:18:26.660,2022-05-16 20:18:31.052,2.029882178091015,ok,0.18391566029521472,0.4055276454384931,6.044650402131655,0.04224213943406388,319.9769920130736,16.0,0.04202457173945111,20.0
2,17,,"{'loss': 2.024317572038362, 'params': {'entry_lam': 0.019926603489696198, 'pk_lam': 25.585138223819342, 'pp_lam': 507.7900004143404, 'recovery_lam': 28.546839900473827, 'x_lam': 126.56238201324064, 'x_splines': 20.0, 'y_lam': 25.42117517337578, 'y_splines': 24.0}, 'status': 'ok'}","{'tid': 17, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'entry_lam': [17], 'pk_lam': [17], 'pp_lam': [17], 'recovery_lam': [17], 'x_lam': [17], 'x_splines': [17], 'y_lam': [17], 'y_splines': [17]}, 'vals': {'entry_lam': [0.019926603489696198], 'pk_lam': [25.585138223819342], 'pp_lam': [507.7900004143404], 'recovery_lam': [28.546839900473827], 'x_lam': [126.56238201324064], 'x_splines': [20.0], 'y_lam': [25.42117517337578], 'y_splines': [24.0]}}",,,0,2022-05-16 20:18:31.066,2022-05-16 20:18:37.737,2.024317572038362,ok,0.019926603489696198,25.585138223819342,507.7900004143404,28.546839900473827,126.56238201324064,20.0,25.42117517337578,24.0
2,18,,"{'loss': 2.0236430763567217, 'params': {'entry_lam': 1.315353303769827, 'pk_lam': 23.83286338507244, 'pp_lam': 22.45164292953146, 'recovery_lam': 511.35576363753336, 'x_lam': 33.22129402409144, 'x_splines': 26.0, 'y_lam': 29.74734237231383, 'y_splines': 16.0}, 'status': 'ok'}","{'tid': 18, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'entry_lam': [18], 'pk_lam': [18], 'pp_lam': [18], 'recovery_lam': [18], 'x_lam': [18], 'x_splines': [18], 'y_lam': [18], 'y_splines': [18]}, 'vals': {'entry_lam': [1.315353303769827], 'pk_lam': [23.83286338507244], 'pp_lam': [22.45164292953146], 'recovery_lam': [511.35576363753336], 'x_lam': [33.22129402409144], 'x_splines': [26.0], 'y_lam': [29.74734237231383], 'y_splines': [16.0]}}",,,0,2022-05-16 20:18:37.751,2022-05-16 20:18:43.013,2.0236430763567217,ok,1.315353303769827,23.83286338507244,22.45164292953146,511.35576363753336,33.22129402409144,26.0,29.74734237231383,16.0
2,19,,"{'loss': 2.029156251754063, 'params': {'entry_lam': 0.9110229399850831, 'pk_lam': 1.9335413864360118, 'pp_lam': 33.57173040948538, 'recovery_lam': 650.0389629382066, 'x_lam': 0.012790467668532738, 'x_splines': 27.0, 'y_lam': 237.44306652533933, 'y_splines': 18.0}, 'status': 'ok'}","{'tid': 19, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'entry_lam': [19], 'pk_lam': [19], 'pp_lam': [19], 'recovery_lam': [19], 'x_lam': [19], 'x_splines': [19], 'y_lam': [19], 'y_splines': [19]}, 'vals': {'entry_lam': [0.9110229399850831], 'pk_lam': [1.9335413864360118], 'pp_lam': [33.57173040948538], 'recovery_lam': [650.0389629382066], 'x_lam': [0.012790467668532738], 'x_splines': [27.0], 'y_lam': [237.44306652533933], 'y_splines': [18.0]}}",,,0,2022-05-16 20:18:43.026,2022-05-16 20:18:49.854,2.029156251754063,ok,0.9110229399850831,1.9335413864360118,33.57173040948538,650.0389629382066,0.012790467668532738,27.0,237.44306652533933,18.0
